"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Munhava","Jul","Positivos","LR","NEP_FISICO",434,540,1.24423963133641,1.09451445636986,1.41509312540852,"high",-0.244239631336406
"CS Munhava","Jun","Positivos","LR","NEP_FISICO",722,816,1.13019390581717,1.02123938467252,1.25097165061842,"high",-0.130193905817175
"CS Munhava","Mar","Positivos","LR","NEP_FISICO",168,352,2.0952380952381,1.73856809060566,2.53325649746474,"low",-1.0952380952381
"CS Munhava","May","Positivos","LR","NEP_FISICO",689,838,1.21625544267054,1.09832185654262,1.34719905280079,"high",-0.216255442670537
"CS Vila Nova","Apr","Positivos","LR","NEP_FISICO",1995,3021,1.51428571428571,1.43056106552447,1.60317660175341,"low",-0.514285714285714
"CS Vila Nova","Feb","Positivos","LR","NEP_FISICO",2225,3192,1.43460674157303,1.35858786763787,1.51508015513269,"low",-0.434606741573034
"CS Vila Nova","Jul","Positivos","LR","NEP_FISICO",646,891,1.37925696594427,1.24499959459372,1.52864139263613,"low",-0.379256965944272
"CS Vila Nova","Jun","Positivos","LR","NEP_FISICO",1317,1563,1.18678815489749,1.10218698465903,1.27803335558383,"medium",-0.186788154897494
"CS Vila Nova","Mar","Positivos","LR","NEP_FISICO",1790,2962,1.65474860335196,1.55991451387807,1.7557270148972,"low",-0.654748603351955
"CS Vila Nova","May","Positivos","LR","NEP_FISICO",1449,2042,1.40924775707384,1.31684706696087,1.50842851458348,"low",-0.409247757073844
"Eduardo Mondlane","Apr","Positivos","LR","NEP_FISICO",3404,5887,1.72943595769683,1.65768277809309,1.80451146964322,"low",-0.729435957696827
"Eduardo Mondlane","Feb","Positivos","LR","NEP_FISICO",4805,4395,0.914672216441207,0.877809411280189,0.953065137128108,"high",0.0853277835587929
"Eduardo Mondlane","Jul","Positivos","LR","NEP_FISICO",1475,2257,1.53016949152542,1.43233869159457,1.63505861489634,"low",-0.530169491525424
"Eduardo Mondlane","Jun","Positivos","LR","NEP_FISICO",2693,2681,0.995544002970665,0.943355411166319,1.05061808713991,"high",0.00445599702933531
"Eduardo Mondlane","Mar","Positivos","LR","NEP_FISICO",2617,3899,1.48987390141383,1.41751253699024,1.56612041001066,"low",-0.489873901413833
"Eduardo Mondlane","May","Positivos","LR","NEP_FISICO",2602,3488,1.34050730207533,1.2737796121044,1.41086450491687,"low",-0.340507302075327
"HD Gondola","Apr","Positivos","LR","NEP_FISICO",3161,4276,1.3527364757988,1.29164889674782,1.41682652958037,"low",-0.352736475798798
"HD Gondola","Feb","Positivos","LR","NEP_FISICO",1705,4763,2.79354838709677,2.64265431557288,2.95414261229148,"low",-1.79354838709677
