"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Nhamatanda","Feb","Testados","LR","SIS_MA",124,135,1.08870967741935,0.846809859742923,1.40069434840678,"high",-0.0887096774193548
"Nhamatanda","Jul","Testados","LR","SIS_MA",159,167,1.05031446540881,0.840191735619206,1.31340431344221,"high",-0.050314465408805
"Nhamatanda","Jun","Testados","LR","SIS_MA",2710,3443,1.27047970479705,1.20776442193976,1.33655367717203,"low",-0.270479704797048
"Nhamatanda","Mar","Testados","LR","SIS_MA",197,185,0.939086294416244,0.764165196728197,1.15364968945816,"high",0.0609137055837563
"Nhamatanda","May","Testados","LR","SIS_MA",3242,3667,1.13109191856878,1.07859643772434,1.18618352901917,"high",-0.131091918568785
"Beira","Apr","Positivos","LR","SIS_MA",799,859,1.07509386733417,0.97521911299377,1.18530018870499,"high",-0.0750938673341677
"Beira","Feb","Positivos","LR","SIS_MA",288,776,2.69444444444444,2.35060337409663,3.09543319263479,"low",-1.69444444444444
"Beira","Jul","Positivos","LR","SIS_MA",578,878,1.51903114186851,1.36607952254694,1.69010629500279,"low",-0.519031141868512
"Beira","Jun","Positivos","LR","SIS_MA",1004,1274,1.26892430278884,1.16726983500357,1.37971945754826,"medium",-0.268924302788845
"Beira","Mar","Positivos","LR","SIS_MA",312,610,1.95512820512821,1.70301017654466,2.24814183819708,"low",-0.955128205128205
"Beira","May","Positivos","LR","SIS_MA",856,1076,1.25700934579439,1.14801680375078,1.37667579659543,"medium",-0.257009345794392
"Chimoio","Apr","Positivos","LR","SIS_MA",5399,8871,1.64308205223189,1.58824303524367,1.69993335704203,"low",-0.643082052231895
"Chimoio","Feb","Positivos","LR","SIS_MA",7030,7443,1.05874822190612,1.024654791344,1.09398436552885,"high",-0.0587482219061166
"Chimoio","Jul","Positivos","LR","SIS_MA",2121,3148,1.48420556341348,1.40424631532811,1.56895297410979,"low",-0.484205563413484
"Chimoio","Jun","Positivos","LR","SIS_MA",4010,4244,1.05835411471322,1.01340390334603,1.10531284551602,"high",-0.058354114713217
"Chimoio","Mar","Positivos","LR","SIS_MA",4407,6820,1.547538007715,1.48979198000277,1.60764702462502,"low",-0.547538007714999
"Chimoio","May","Positivos","LR","SIS_MA",4051,5530,1.36509503826216,1.31063103400836,1.42191313920007,"low",-0.365095038262158
"Dondo","Apr","Positivos","LR","SIS_MA",1464,4174,2.85109289617486,2.68565071742634,3.02803829094588,"low",-1.85109289617486
"Dondo","Feb","Positivos","LR","SIS_MA",1445,2002,1.38546712802768,1.29418226429234,1.48347092120905,"low",-0.385467128027682
"Dondo","Jul","Positivos","LR","SIS_MA",1338,2248,1.68011958146487,1.5694746847661,1.79909861002221,"low",-0.680119581464873
"Dondo","Jun","Positivos","LR","SIS_MA",1236,2576,2.08414239482201,1.94672072405055,2.23218631383439,"low",-1.08414239482201
"Dondo","Mar","Positivos","LR","SIS_MA",847,1959,2.31286894923259,2.13266445992211,2.50996069803966,"low",-1.31286894923259
"Dondo","May","Positivos","LR","SIS_MA",1591,3052,1.91829038340666,1.80488285070525,2.03942343996225,"low",-0.918290383406662
"Gondola","Apr","Positivos","LR","SIS_MA",4080,4996,1.22450980392157,1.17466370874283,1.27652660395099,"medium",-0.224509803921569
"Gondola","Feb","Positivos","LR","SIS_MA",1879,5332,2.83767961681746,2.69180501017711,2.99246327587518,"low",-1.83767961681746
"Gondola","Jul","Positivos","LR","SIS_MA",2781,3930,1.41316073354908,1.3458219436312,1.48402040061973,"low",-0.413160733549083
"Gondola","Jun","Positivos","LR","SIS_MA",4033,4767,1.18199851227374,1.13322009975222,1.23292211661714,"medium",-0.181998512273742
"Gondola","Mar","Positivos","LR","SIS_MA",1927,3475,1.80332122470161,1.70517960648137,1.90754127612196,"low",-0.803321224701609
"Gondola","May","Positivos","LR","SIS_MA",5168,5302,1.02592879256966,0.98717978055505,1.06620382835125,"high",-0.0259287925696594
"Manica","Apr","Positivos","LR","SIS_MA",6999,8157,1.16545220745821,1.1286833384516,1.20344239736696,"medium",-0.165452207458208
"Manica","Feb","Positivos","LR","SIS_MA",2874,3031,1.05462769659012,1.00182910562563,1.11022835171078,"high",-0.0546276965901183
"Manica","Jul","Positivos","LR","SIS_MA",337,1311,3.89020771513353,3.44869654442336,4.39799509565672,"low",-2.89020771513353
"Manica","Jun","Positivos","LR","SIS_MA",2659,1937,0.728469349379466,0.686689124746418,0.772685837902229,"low",0.271530650620534
"Manica","Mar","Positivos","LR","SIS_MA",2207,31,0.0140462165835976,0.00952019054253429,0.0199961322152688,"low",0.985953783416402
"Manica","May","Positivos","LR","SIS_MA",3270,4509,1.37889908256881,1.31790441376305,1.44283424072673,"low",-0.378899082568807
"Muanza","Jul","Positivos","LR","SIS_MA",184,295,1.60326086956522,1.32914454610336,1.93802398951906,"low",-0.603260869565217
"Muanza","Jun","Positivos","LR","SIS_MA",475,647,1.36210526315789,1.20810509078279,1.53660145452577,"low",-0.362105263157895
"Muanza","May","Positivos","LR","SIS_MA",499,814,1.6312625250501,1.45744606529436,1.82722906922634,"low",-0.6312625250501
"Nhamatanda","Jul","Positivos","LR","SIS_MA",45,48,1.06666666666667,0.695297595520978,1.6390076396029,"high",-0.0666666666666667
"Nhamatanda","Jun","Positivos","LR","SIS_MA",1199,1488,1.24103419516264,1.14936201284752,1.34023194228264,"medium",-0.241034195162636
"Nhamatanda","May","Positivos","LR","SIS_MA",1417,1563,1.1030345800988,1.02585762488368,1.18609454968341,"high",-0.1030345800988
"Beira","Apr","Tratados_ACTs","LR","SIS_MA",797,794,0.996235884567127,0.90184654079769,1.10049903739696,"high",0.00376411543287327
"Beira","Feb","Tratados_ACTs","LR","SIS_MA",285,760,2.66666666666667,2.32421181041455,3.06639900660676,"low",-1.66666666666667
"Beira","Jul","Tratados_ACTs","LR","SIS_MA",575,863,1.50086956521739,1.34901008574156,1.67079336456307,"low",-0.500869565217391
"Beira","Jun","Tratados_ACTs","LR","SIS_MA",995,1265,1.2713567839196,1.16910541692499,1.38284442724403,"medium",-0.271356783919598
"Beira","Mar","Tratados_ACTs","LR","SIS_MA",305,595,1.95081967213115,1.69645734315724,2.24696625371846,"low",-0.950819672131147
"Beira","May","Tratados_ACTs","LR","SIS_MA",852,1099,1.28990610328638,1.17843666200175,1.41228902590691,"medium",-0.289906103286385
"Chimoio","Apr","Tratados_ACTs","LR","SIS_MA",5426,7824,1.44194618503502,1.39269226913832,1.49302334953173,"low",-0.441946185035017
"Chimoio","Feb","Tratados_ACTs","LR","SIS_MA",6703,7223,1.07757720423691,1.04220206903659,1.11416459937609,"high",-0.0775772042369089
"Chimoio","Jul","Tratados_ACTs","LR","SIS_MA",1469,2253,1.53369639210347,1.43548965882566,1.6390022321862,"low",-0.533696392103472
"Chimoio","Jun","Tratados_ACTs","LR","SIS_MA",3984,3554,0.892068273092369,0.852385139328831,0.933571376197675,"high",0.107931726907631
"Chimoio","Mar","Tratados_ACTs","LR","SIS_MA",4034,6879,1.70525532969757,1.64000573796932,1.77327667305077,"low",-0.705255329697571
"Chimoio","May","Tratados_ACTs","LR","SIS_MA",3999,5127,1.28207051762941,1.22989595079959,1.33652959459741,"low",-0.282070517629407
"Dondo","Apr","Tratados_ACTs","LR","SIS_MA",1457,4162,2.85655456417296,2.69044907825437,3.03423727823135,"low",-1.85655456417296
"Dondo","Feb","Tratados_ACTs","LR","SIS_MA",1433,1966,1.37194696441033,1.2809994004767,1.46962434903539,"low",-0.371946964410328
"Dondo","Jul","Tratados_ACTs","LR","SIS_MA",1336,2229,1.66841317365269,1.55831635487002,1.78681404850058,"low",-0.668413173652695
"Dondo","Jun","Tratados_ACTs","LR","SIS_MA",1242,3140,2.52818035426731,2.366652064318,2.70202166425257,"low",-1.52818035426731
"Dondo","Mar","Tratados_ACTs","LR","SIS_MA",844,1955,2.31635071090047,2.13560615594741,2.51406347008225,"low",-1.31635071090047
"Dondo","May","Tratados_ACTs","LR","SIS_MA",1682,3186,1.89417360285375,1.78495245349321,2.01062905792518,"low",-0.894173602853746
"Gondola","Apr","Tratados_ACTs","LR","SIS_MA",4422,5006,1.13206693803709,1.08697220322107,1.17906258879139,"high",-0.132066938037087
"Gondola","Feb","Tratados_ACTs","LR","SIS_MA",2538,4763,1.87667454688731,1.78804145207828,1.9700533242944,"low",-0.876674546887313
"Gondola","Jul","Tratados_ACTs","LR","SIS_MA",2784,3899,1.40050287356322,1.33367837732815,1.47082240278819,"low",-0.400502873563218
"Gondola","Jun","Tratados_ACTs","LR","SIS_MA",4105,4620,1.12545676004872,1.07888989058688,1.17406440795755,"high",-0.125456760048721
"Gondola","Mar","Tratados_ACTs","LR","SIS_MA",2581,3473,1.34560247965905,1.27840874898096,1.416465031331,"low",-0.345602479659047
"Gondola","May","Tratados_ACTs","LR","SIS_MA",5362,5302,0.988810145468109,0.951798757200047,1.02725865393279,"high",0.0111898545318911
"Manica","Apr","Tratados_ACTs","LR","SIS_MA",6772,5883,0.868724158298878,0.838759516586036,0.899739918263086,"medium",0.131275841701122
"Manica","Feb","Tratados_ACTs","LR","SIS_MA",2872,2967,1.03307799442897,0.981080307973103,1.0878433791943,"high",-0.0330779944289694
"Manica","Jul","Tratados_ACTs","LR","SIS_MA",337,1283,3.80712166172107,3.37408353455083,4.30521325333657,"low",-2.80712166172107
"Manica","Jun","Tratados_ACTs","LR","SIS_MA",2656,1844,0.694277108433735,0.653877305791798,0.73705363170569,"low",0.305722891566265
"Manica","May","Tratados_ACTs","LR","SIS_MA",3522,5007,1.42163543441227,1.36138544641102,1.48467297439689,"low",-0.421635434412266
"Muanza","Jul","Tratados_ACTs","LR","SIS_MA",151,295,1.95364238410596,1.60034320485948,2.39300982147812,"low",-0.95364238410596
"Muanza","Jun","Tratados_ACTs","LR","SIS_MA",475,648,1.36421052631579,1.21002205049259,1.53891686056686,"low",-0.364210526315789
"Muanza","May","Tratados_ACTs","LR","SIS_MA",424,814,1.91981132075472,1.70507375947911,2.16405128402754,"low",-0.919811320754717
"Nhamatanda","Feb","Tratados_ACTs","LR","SIS_MA",610,709,1.16229508196721,1.04158202953163,1.29729535474392,"high",-0.162295081967213
"Nhamatanda","Jul","Tratados_ACTs","LR","SIS_MA",44,52,1.18181818181818,0.775768063171561,1.80764533102139,"high",-0.181818181818182
"Nhamatanda","Jun","Tratados_ACTs","LR","SIS_MA",1112,1488,1.33812949640288,1.23726574237477,1.44754011062933,"low",-0.338129496402878
"Nhamatanda","Mar","Tratados_ACTs","LR","SIS_MA",504,756,1.5,1.33833634886391,1.68230791425396,"low",-0.5
"Nhamatanda","May","Tratados_ACTs","LR","SIS_MA",1394,1566,1.12338593974175,1.04449599661997,1.20832798285952,"high",-0.12338593974175
"Gondola","Apr","Obitos","LR","SIS_MA",4,2,0.5,0.045229012149485,3.48877165297535,"high",0.5
"Gondola","Feb","Obitos","LR","SIS_MA",5,2,0.4,0.0380901931073364,2.44327878903494,"high",0.6
"Gondola","Jul","Obitos","LR","SIS_MA",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"Gondola","Jun","Obitos","LR","SIS_MA",4,1,0.25,0.00507640309029595,2.52631610868175,"high",0.75
"Gondola","Mar","Obitos","LR","SIS_MA",6,3,0.5,0.0809112102399224,2.34118449087655,"high",0.5
"Muanza","May","Obitos","LR","SIS_MA",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"Nhamatanda","Apr","Obitos","LR","SIS_MA",1,4,4,0.395833283318533,196.989872989321,"high",-3
"Nhamatanda","Jun","Obitos","LR","SIS_MA",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Nhamatanda","Mar","Obitos","LR","SIS_MA",1,3,3,0.240880227829262,157.492088274811,"high",-2
