"district","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Nhamatanda","Feb","Testados","RMUS","NEP_FISICO",2324,2324,1,0.943717678093831,1.05963893992094,"high",0
"Nhamatanda","Jul","Testados","RMUS","NEP_FISICO",2342,2342,1,0.943929753410227,1.05940086790061,"high",0
"Nhamatanda","Jun","Testados","RMUS","NEP_FISICO",3443,3443,1,0.953582532616469,1.04867692705756,"high",0
"Nhamatanda","Mar","Testados","RMUS","NEP_FISICO",2111,2111,1,0.94100876550036,1.06268935706276,"high",0
"Nhamatanda","May","Testados","RMUS","NEP_FISICO",3667,3667,1,0.954998039115911,1.04712256888585,"high",0
"Beira","Apr","Positivos","RMUS","NEP_FISICO",65,279,4.29230769230769,3.26636069297528,5.71298790015597,"low",-3.29230769230769
"Beira","Feb","Positivos","RMUS","NEP_FISICO",603,613,1.01658374792703,0.907005501551026,1.13943142323515,"high",-0.0165837479270315
"Beira","Jul","Positivos","RMUS","NEP_FISICO",540,540,1,0.885909167201931,1.1287838945819,"high",0
"Beira","Jun","Positivos","RMUS","NEP_FISICO",458,458,1,0.876591944940667,1.14078164392406,"high",0
"Beira","Mar","Positivos","RMUS","NEP_FISICO",352,352,1,0.860193978246996,1.16252848228247,"high",0
"Beira","May","Positivos","RMUS","NEP_FISICO",907,1076,1.18632855567806,1.08500105238895,1.2973416573574,"high",-0.18632855567806
"Chimoio","Apr","Positivos","RMUS","NEP_FISICO",8908,8908,1,0.970950018331682,1.02991913190159,"high",0
"Chimoio","Feb","Positivos","RMUS","NEP_FISICO",7977,7587,0.951109439638962,0.921558827475817,0.981601528159918,"high",0.048890560361038
"Chimoio","Jul","Positivos","RMUS","NEP_FISICO",2382,3148,1.3215785054576,1.25267503581784,1.39441071507834,"low",-0.321578505457599
"Chimoio","Jun","Positivos","RMUS","NEP_FISICO",4244,4244,1,0.958118668711819,1.04371205014144,"high",0
"Chimoio","Mar","Positivos","RMUS","NEP_FISICO",6861,6861,1,0.966949237600844,1.03418045241047,"high",0
"Chimoio","May","Positivos","RMUS","NEP_FISICO",5530,5530,1,0.963238134662976,1.03816487742139,"high",0
"Dondo","Apr","Positivos","RMUS","NEP_FISICO",4174,4174,1,0.957774526259633,1.04408707120795,"high",0
"Dondo","Feb","Positivos","RMUS","NEP_FISICO",2656,2656,1,0.947279788077987,1.05565431943711,"high",0
"Dondo","Jul","Positivos","RMUS","NEP_FISICO",1067,1067,1,0.917781358635773,1.0895841265358,"high",0
"Dondo","Jun","Positivos","RMUS","NEP_FISICO",2576,2576,1,0.946483940980296,1.05654196199491,"high",0
"Dondo","Mar","Positivos","RMUS","NEP_FISICO",1959,1959,1,0.93881537266576,1.06517216176436,"high",0
"Dondo","May","Positivos","RMUS","NEP_FISICO",3052,3052,1,0.950752627363451,1.05179830296459,"high",0
"Gondola","Apr","Positivos","RMUS","NEP_FISICO",720,720,1,0.900600049365578,1.11037080300456,"high",0
"Gondola","Feb","Positivos","RMUS","NEP_FISICO",569,569,1,0.888725971696544,1.12520622986975,"high",0
"Gondola","Jul","Positivos","RMUS","NEP_FISICO",601,601,1,0.891601307502237,1.12157753873358,"high",0
"Gondola","Jun","Positivos","RMUS","NEP_FISICO",274,803,2.93065693430657,2.55195925550792,3.37378047911673,"low",-1.93065693430657
"Gondola","Mar","Positivos","RMUS","NEP_FISICO",582,582,1,0.889921808321654,1.12369422869403,"high",0
"Gondola","May","Positivos","RMUS","NEP_FISICO",993,993,1,0.914871832241098,1.09304928270703,"high",0
"Manica","Apr","Positivos","RMUS","NEP_FISICO",8170,8074,0.988249694002448,0.958198313957087,1.01924212910695,"high",0.011750305997552
"Manica","Jul","Positivos","RMUS","NEP_FISICO",1319,1319,1,0.925814986445279,1.08012941531608,"high",0
"Manica","Mar","Positivos","RMUS","NEP_FISICO",2319,2319,1,0.943658336880744,1.05970557448313,"high",0
"Manica","May","Positivos","RMUS","NEP_FISICO",4525,6943,1.53436464088398,1.47775564701037,1.59326061465366,"low",-0.534364640883978
"Muanza","Apr","Positivos","RMUS","NEP_FISICO",186,186,1,0.811665092873103,1.23203524308312,"high",0
"Muanza","Jul","Positivos","RMUS","NEP_FISICO",295,295,1,0.848067167849577,1.17915188549944,"high",0
"Muanza","Jun","Positivos","RMUS","NEP_FISICO",647,647,1,0.895365154836993,1.11686276219009,"high",0
"Muanza","Mar","Positivos","RMUS","NEP_FISICO",70,70,1,0.707621235536936,1.41318540170888,"high",0
"Muanza","May","Positivos","RMUS","NEP_FISICO",507,612,1.20710059171598,1.07130494890553,1.36057242444453,"high",-0.207100591715976
"Nhamatanda","Apr","Positivos","RMUS","NEP_FISICO",1139,1139,1,0.920341255981881,1.08655348600355,"high",0
"Nhamatanda","Feb","Positivos","RMUS","NEP_FISICO",60,60,1,0.687391397473787,1.45477526148141,"high",0
"Nhamatanda","Jul","Positivos","RMUS","NEP_FISICO",1002,1002,1,0.915242448454389,1.09260666579522,"high",0
"Nhamatanda","Jun","Positivos","RMUS","NEP_FISICO",1488,1488,1,0.930038107496394,1.07522475900685,"high",0
"Nhamatanda","Mar","Positivos","RMUS","NEP_FISICO",58,58,1,0.682792631737893,1.46457350814511,"high",0
"Nhamatanda","May","Positivos","RMUS","NEP_FISICO",1563,1563,1,0.931692783604728,1.07331517169317,"high",0
"Beira","Apr","Tratados_ACTs","RMUS","NEP_FISICO",279,279,1,0.844040270554912,1.18477759283044,"high",0
"Beira","Feb","Tratados_ACTs","RMUS","NEP_FISICO",760,760,1,0.903151208016562,1.1072343048692,"high",0
"Beira","Jul","Tratados_ACTs","RMUS","NEP_FISICO",525,530,1.00952380952381,0.893058058197972,1.14119878747082,"high",-0.00952380952380952
"Beira","Jun","Tratados_ACTs","RMUS","NEP_FISICO",458,458,1,0.876591944940667,1.14078164392406,"high",0
"Beira","Mar","Tratados_ACTs","RMUS","NEP_FISICO",337,337,1,0.857291483323015,1.16646440499306,"high",0
"Beira","May","Tratados_ACTs","RMUS","NEP_FISICO",1099,1099,1,0.918949471217873,1.08819911357554,"high",0
"Chimoio","Apr","Tratados_ACTs","RMUS","NEP_FISICO",7824,7824,1,0.969025522219581,1.03196456344047,"high",0
"Chimoio","Feb","Tratados_ACTs","RMUS","NEP_FISICO",7577,7453,0.983634683911839,0.95255235629752,1.01572909749848,"high",0.0163653160881615
"Chimoio","Jul","Tratados_ACTs","RMUS","NEP_FISICO",2253,2253,1,0.942856884761561,1.06060635093404,"high",0
"Chimoio","Jun","Tratados_ACTs","RMUS","NEP_FISICO",3554,3554,1,0.954300498902657,1.04788795683319,"high",0
"Chimoio","Mar","Tratados_ACTs","RMUS","NEP_FISICO",6920,6879,0.994075144508671,0.961310318317734,1.02795585749728,"high",0.00592485549132948
"Chimoio","May","Tratados_ACTs","RMUS","NEP_FISICO",5027,5027,1,0.961468875114557,1.04007527012338,"high",0
"Dondo","Apr","Tratados_ACTs","RMUS","NEP_FISICO",4162,4162,1,0.957714669676083,1.04415232601399,"high",0
"Dondo","Feb","Tratados_ACTs","RMUS","NEP_FISICO",2616,1004,0.383792048929664,0.356503584514465,0.412919967267764,"low",0.616207951070336
"Dondo","Jul","Tratados_ACTs","RMUS","NEP_FISICO",1048,1048,1,0.917063168637998,1.09043742481249,"high",0
"Dondo","Jun","Tratados_ACTs","RMUS","NEP_FISICO",3140,3140,1,0.951434816513853,1.05104415209872,"high",0
"Dondo","Mar","Tratados_ACTs","RMUS","NEP_FISICO",1955,1955,1,0.938754274799252,1.06524148741037,"high",0
"Dondo","May","Tratados_ACTs","RMUS","NEP_FISICO",3186,2096,0.657878217200251,0.622299516556516,0.695380413916794,"low",0.342121782799749
"Gondola","Apr","Tratados_ACTs","RMUS","NEP_FISICO",720,720,1,0.900600049365578,1.11037080300456,"high",0
"Gondola","Feb","Tratados_ACTs","RMUS","NEP_FISICO",569,569,1,0.888725971696544,1.12520622986975,"high",0
"Gondola","Jul","Tratados_ACTs","RMUS","NEP_FISICO",601,601,1,0.891601307502237,1.12157753873358,"high",0
"Gondola","Jun","Tratados_ACTs","RMUS","NEP_FISICO",818,803,0.981662591687042,0.889475457386946,1.08337955954163,"high",0.0183374083129584
"Gondola","Mar","Tratados_ACTs","RMUS","NEP_FISICO",582,582,1,0.889921808321654,1.12369422869403,"high",0
"Gondola","May","Tratados_ACTs","RMUS","NEP_FISICO",993,993,1,0.914871832241098,1.09304928270703,"high",0
"Manica","Apr","Tratados_ACTs","RMUS","NEP_FISICO",5883,8170,1.38874723780384,1.34281070135072,1.4363211038288,"low",-0.388747237803842
"Manica","Jul","Tratados_ACTs","RMUS","NEP_FISICO",1283,1283,1,0.924811286939646,1.08130168189141,"high",0
"Manica","Mar","Tratados_ACTs","RMUS","NEP_FISICO",2308,2272,0.984402079722704,0.928591911626858,1.04355955349449,"high",0.0155979202772964
"Manica","May","Tratados_ACTs","RMUS","NEP_FISICO",4407,6822,1.54799183117767,1.49023218040033,1.60811496881437,"low",-0.547991831177672
"Muanza","Apr","Tratados_ACTs","RMUS","NEP_FISICO",186,186,1,0.811665092873103,1.23203524308312,"high",0
"Muanza","Jul","Tratados_ACTs","RMUS","NEP_FISICO",295,295,1,0.848067167849577,1.17915188549944,"high",0
"Muanza","Jun","Tratados_ACTs","RMUS","NEP_FISICO",608,648,1.06578947368421,0.952659276630205,1.19247547321217,"high",-0.0657894736842105
"Muanza","Mar","Tratados_ACTs","RMUS","NEP_FISICO",70,70,1,0.707621235536936,1.41318540170888,"high",0
"Muanza","May","Tratados_ACTs","RMUS","NEP_FISICO",301,612,2.03322259136213,1.76827670099455,2.34188025463089,"low",-1.03322259136213
"Nhamatanda","Apr","Tratados_ACTs","RMUS","NEP_FISICO",1145,1086,0.948471615720524,0.872104108552887,1.03147800535022,"high",0.051528384279476
"Nhamatanda","Feb","Tratados_ACTs","RMUS","NEP_FISICO",709,709,1,0.899861910307589,1.11128161837429,"high",0
"Nhamatanda","Jul","Tratados_ACTs","RMUS","NEP_FISICO",899,935,1.04004449388209,0.948037673731777,1.14102907529795,"high",-0.0400444938820912
"Nhamatanda","Jun","Tratados_ACTs","RMUS","NEP_FISICO",1488,1488,1,0.930038107496394,1.07522475900685,"high",0
"Nhamatanda","Mar","Tratados_ACTs","RMUS","NEP_FISICO",525,525,1,0.884364308323507,1.13075571977312,"high",0
"Nhamatanda","May","Tratados_ACTs","RMUS","NEP_FISICO",1566,1566,1,0.931756531140143,1.07324173920879,"high",0
"Gondola","Jul","Obitos","RMUS","NEP_FISICO",2,2,1,0.0724849535819557,13.7959666190493,"high",0
"Gondola","Jun","Obitos","RMUS","NEP_FISICO",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Gondola","Mar","Obitos","RMUS","NEP_FISICO",3,3,1,0.13393758817773,7.46616400672407,"high",0
"Gondola","May","Obitos","RMUS","NEP_FISICO",2,2,1,0.0724849535819557,13.7959666190493,"high",0
"Manica","Mar","Obitos","RMUS","NEP_FISICO",2,2,1,0.0724849535819557,13.7959666190493,"high",0
"Manica","May","Obitos","RMUS","NEP_FISICO",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Muanza","Mar","Obitos","RMUS","NEP_FISICO",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"Muanza","May","Obitos","RMUS","NEP_FISICO",3,3,1,0.13393758817773,7.46616400672407,"high",0
"Nhamatanda","Apr","Obitos","RMUS","NEP_FISICO",4,4,1,0.186257590850785,5.36890870021573,"high",0
"Nhamatanda","Mar","Obitos","RMUS","NEP_FISICO",3,3,1,0.13393758817773,7.46616400672407,"high",0
"Beira","Apr","Testados","RMUS","SIS_MA",983,983,1,0.914454216095168,1.09354846027188,"high",0
"Beira","Feb","Testados","RMUS","SIS_MA",4903,4903,1,0.960991806841138,1.04059159805648,"high",0
"Beira","Jul","Testados","RMUS","SIS_MA",3904,3904,1,0.956362477168059,1.04562864381836,"high",0
"Beira","Jun","Testados","RMUS","SIS_MA",1199,1199,1,0.922299512852129,1.08424647965777,"high",0
"Beira","Mar","Testados","RMUS","SIS_MA",4358,4358,1,0.958661466095703,1.04312109682749,"high",0
"Beira","May","Testados","RMUS","SIS_MA",5250,5250,1,0.962284312502876,1.03919391286659,"high",0
"Chimoio","Apr","Testados","RMUS","SIS_MA",3446,3446,1,0.953602386674066,1.04865509354245,"high",0
"Chimoio","Feb","Testados","RMUS","SIS_MA",3805,3805,1,0.955807865375068,1.04623537452016,"high",0
"Chimoio","Jul","Testados","RMUS","SIS_MA",8560,8560,1,0.97037190349713,1.03053272296538,"high",0
"Chimoio","Jun","Testados","RMUS","SIS_MA",9958,9968,1.0010042177144,0.973491473472473,1.0292946247607,"high",-0.00100421771440048
"Chimoio","Mar","Testados","RMUS","SIS_MA",6256,5956,0.952046035805627,0.918702905398479,0.9865916472886,"high",0.0479539641943734
"Chimoio","May","Testados","RMUS","SIS_MA",11511,11511,1,0.974411244240385,1.02626073530131,"high",0
"Dondo","Apr","Testados","RMUS","SIS_MA",9757,9757,1,0.972229188020634,1.02856405909383,"high",0
"Dondo","Feb","Testados","RMUS","SIS_MA",5070,4967,0.979684418145957,0.941900763581154,1.01897970710915,"high",0.0203155818540434
"Dondo","Jul","Testados","RMUS","SIS_MA",2419,2419,1,0.94481046251607,1.05841334285922,"high",0
"Dondo","Jun","Testados","RMUS","SIS_MA",5536,5536,1,0.963257785583999,1.03814369835975,"high",0
"Dondo","Mar","Testados","RMUS","SIS_MA",6024,6024,1,0.964757260588343,1.036530162406,"high",0
"Dondo","May","Testados","RMUS","SIS_MA",8750,8750,1,0.970691785414512,1.03019312105642,"high",0
"Gondola","Apr","Testados","RMUS","SIS_MA",1227,1273,1.03748981255094,0.958490208075214,1.123033255702,"high",-0.0374898125509372
"Gondola","Feb","Testados","RMUS","SIS_MA",1611,1611,1,0.932691646374321,1.07216570866409,"high",0
"Gondola","Jul","Testados","RMUS","SIS_MA",995,1012,1.01708542713568,0.930946896914343,1.1112127615865,"high",-0.0170854271356784
"Gondola","Jun","Testados","RMUS","SIS_MA",1182,1182,1,0.921759530046901,1.08488165015133,"high",0
"Gondola","Mar","Testados","RMUS","SIS_MA",1056,1056,1,0.917367874990208,1.09007523291643,"high",0
"Gondola","May","Testados","RMUS","SIS_MA",1856,1852,0.997844827586207,0.935127402238207,1.06476739191,"high",0.0021551724137931
"Manica","Apr","Testados","RMUS","SIS_MA",12902,12902,1,0.975817116755735,1.02478218800329,"high",0
"Manica","Feb","Testados","RMUS","SIS_MA",3759,3759,1,0.955542827331451,1.04652556787298,"high",0
"Manica","Jul","Testados","RMUS","SIS_MA",2068,2068,1,0.940412486584982,1.0633631669773,"high",0
"Manica","Jun","Testados","RMUS","SIS_MA",2908,2908,1,0.949571087931608,1.05310704244191,"high",0
"Manica","Mar","Testados","RMUS","SIS_MA",3251,2364,0.727160873577361,0.68934930075841,0.766960263047878,"low",0.272839126422639
"Manica","May","Testados","RMUS","SIS_MA",6868,6865,0.999563191613279,0.96653990468689,1.0337147053182,"high",0.000436808386721025
"Muanza","Apr","Testados","RMUS","SIS_MA",266,266,1,0.840516193214837,1.18974507341157,"high",0
"Muanza","Feb","Testados","RMUS","SIS_MA",122,132,1.08196721311475,0.839439969858554,1.39549153963371,"high",-0.0819672131147541
"Muanza","Jul","Testados","RMUS","SIS_MA",689,689,1,0.898476053926312,1.11299571717024,"high",0
"Muanza","Jun","Testados","RMUS","SIS_MA",1055,1055,1,0.917329972202007,1.09012027329658,"high",0
"Muanza","Mar","Testados","RMUS","SIS_MA",120,120,1,0.769917908417768,1.29883977118426,"high",0
"Muanza","May","Testados","RMUS","SIS_MA",1093,1091,0.998170173833486,0.917016394724934,1.08650406776567,"high",0.00182982616651418
"Nhamatanda","Feb","Testados","RMUS","SIS_MA",135,135,1,0.781878990087139,1.27897029166694,"high",0
"Nhamatanda","Jul","Testados","RMUS","SIS_MA",167,167,1,0.802086050607492,1.24674902305384,"high",0
"Nhamatanda","Jun","Testados","RMUS","SIS_MA",3443,3443,1,0.953582532616469,1.04867692705756,"high",0
"Nhamatanda","Mar","Testados","RMUS","SIS_MA",185,185,1,0.811196021982804,1.23274766258802,"high",0
"Nhamatanda","May","Testados","RMUS","SIS_MA",3667,3667,1,0.954998039115911,1.04712256888585,"high",0
"Beira","Apr","Positivos","RMUS","SIS_MA",65,279,4.29230769230769,3.26636069297528,5.71298790015597,"low",-3.29230769230769
"Beira","Feb","Positivos","RMUS","SIS_MA",603,613,1.01658374792703,0.907005501551026,1.13943142323515,"high",-0.0165837479270315
"Beira","Jul","Positivos","RMUS","SIS_MA",540,540,1,0.885909167201931,1.1287838945819,"high",0
"Beira","Jun","Positivos","RMUS","SIS_MA",458,458,1,0.876591944940667,1.14078164392406,"high",0
"Beira","Mar","Positivos","RMUS","SIS_MA",352,352,1,0.860193978246996,1.16252848228247,"high",0
"Beira","May","Positivos","RMUS","SIS_MA",907,1076,1.18632855567806,1.08500105238895,1.2973416573574,"high",-0.18632855567806
"Chimoio","Apr","Positivos","RMUS","SIS_MA",8908,8871,0.995846430175124,0.966887071533556,1.02567269236034,"high",0.00415356982487652
"Chimoio","Feb","Positivos","RMUS","SIS_MA",7977,7443,0.933057540428733,0.903925005191812,0.963120644694519,"high",0.0669424595712674
"Chimoio","Jul","Positivos","RMUS","SIS_MA",2382,3148,1.3215785054576,1.25267503581784,1.39441071507834,"low",-0.321578505457599
"Chimoio","Jun","Positivos","RMUS","SIS_MA",4244,4244,1,0.958118668711819,1.04371205014144,"high",0
"Chimoio","Mar","Positivos","RMUS","SIS_MA",6861,6820,0.994024194723801,0.961121806658097,1.02805207240116,"high",0.0059758052761988
"Chimoio","May","Positivos","RMUS","SIS_MA",5530,5530,1,0.963238134662976,1.03816487742139,"high",0
"Dondo","Apr","Positivos","RMUS","SIS_MA",4174,4174,1,0.957774526259633,1.04408707120795,"high",0
"Dondo","Feb","Positivos","RMUS","SIS_MA",2656,2002,0.753765060240964,0.710928512017662,0.799086751512724,"low",0.246234939759036
"Dondo","Jul","Positivos","RMUS","SIS_MA",1067,1067,1,0.917781358635773,1.0895841265358,"high",0
"Dondo","Jun","Positivos","RMUS","SIS_MA",2576,2576,1,0.946483940980296,1.05654196199491,"high",0
"Dondo","Mar","Positivos","RMUS","SIS_MA",1959,1959,1,0.93881537266576,1.06517216176436,"high",0
"Dondo","May","Positivos","RMUS","SIS_MA",3052,3052,1,0.950752627363451,1.05179830296459,"high",0
"Gondola","Apr","Positivos","RMUS","SIS_MA",720,720,1,0.900600049365578,1.11037080300456,"high",0
"Gondola","Feb","Positivos","RMUS","SIS_MA",569,569,1,0.888725971696544,1.12520622986975,"high",0
"Gondola","Jul","Positivos","RMUS","SIS_MA",601,607,1.00998336106489,0.90076933098401,1.13245776862912,"high",-0.00998336106489185
"Gondola","Jun","Positivos","RMUS","SIS_MA",274,803,2.93065693430657,2.55195925550792,3.37378047911673,"low",-1.93065693430657
"Gondola","Mar","Positivos","RMUS","SIS_MA",582,582,1,0.889921808321654,1.12369422869403,"high",0
"Gondola","May","Positivos","RMUS","SIS_MA",993,993,1,0.914871832241098,1.09304928270703,"high",0
"Manica","Apr","Positivos","RMUS","SIS_MA",8170,8157,0.998408812729498,0.968125993569109,1.02963868009001,"high",0.00159118727050184
"Manica","Feb","Positivos","RMUS","SIS_MA",3031,3031,1,0.950585512493595,1.05198321124922,"high",0
"Manica","Jul","Positivos","RMUS","SIS_MA",1319,1311,0.99393479909022,0.920088445095512,1.07370317114904,"high",0.00606520090978014
"Manica","Jun","Positivos","RMUS","SIS_MA",1937,1937,1,0.938477033657742,1.06555617680112,"high",0
"Manica","Mar","Positivos","RMUS","SIS_MA",2319,31,0.0133678309616214,0.00906147357640678,0.0190276931229084,"low",0.986632169038379
"Manica","May","Positivos","RMUS","SIS_MA",4525,4509,0.99646408839779,0.955991561478612,1.03864925791659,"high",0.00353591160220994
"Muanza","Jul","Positivos","RMUS","SIS_MA",295,295,1,0.848067167849577,1.17915188549944,"high",0
"Muanza","Jun","Positivos","RMUS","SIS_MA",647,647,1,0.895365154836993,1.11686276219009,"high",0
"Muanza","May","Positivos","RMUS","SIS_MA",507,612,1.20710059171598,1.07130494890553,1.36057242444453,"high",-0.207100591715976
"Nhamatanda","Jul","Positivos","RMUS","SIS_MA",48,48,1,0.656116991472209,1.52411843161717,"high",0
"Nhamatanda","Jun","Positivos","RMUS","SIS_MA",1488,1488,1,0.930038107496394,1.07522475900685,"high",0
"Nhamatanda","May","Positivos","RMUS","SIS_MA",1563,1563,1,0.931692783604728,1.07331517169317,"high",0
"Beira","Apr","Tratados_ACTs","RMUS","SIS_MA",279,279,1,0.844040270554912,1.18477759283044,"high",0
"Beira","Feb","Tratados_ACTs","RMUS","SIS_MA",760,760,1,0.903151208016562,1.1072343048692,"high",0
"Beira","Jul","Tratados_ACTs","RMUS","SIS_MA",525,525,1,0.884364308323507,1.13075571977312,"high",0
"Beira","Jun","Tratados_ACTs","RMUS","SIS_MA",458,458,1,0.876591944940667,1.14078164392406,"high",0
"Beira","Mar","Tratados_ACTs","RMUS","SIS_MA",337,337,1,0.857291483323015,1.16646440499306,"high",0
"Beira","May","Tratados_ACTs","RMUS","SIS_MA",1099,1099,1,0.918949471217873,1.08819911357554,"high",0
"Chimoio","Apr","Tratados_ACTs","RMUS","SIS_MA",7824,7824,1,0.969025522219581,1.03196456344047,"high",0
"Chimoio","Feb","Tratados_ACTs","RMUS","SIS_MA",7577,7223,0.95327966213541,0.922916712949497,0.9846353841221,"high",0.0467203378645902
"Chimoio","Jul","Tratados_ACTs","RMUS","SIS_MA",2253,2253,1,0.942856884761561,1.06060635093404,"high",0
"Chimoio","Jun","Tratados_ACTs","RMUS","SIS_MA",3554,3554,1,0.954300498902657,1.04788795683319,"high",0
"Chimoio","Mar","Tratados_ACTs","RMUS","SIS_MA",6920,6879,0.994075144508671,0.961310318317734,1.02795585749728,"high",0.00592485549132948
"Chimoio","May","Tratados_ACTs","RMUS","SIS_MA",5027,5127,1.01989258006763,0.980786122018079,1.06056229041646,"high",-0.0198925800676348
"Dondo","Apr","Tratados_ACTs","RMUS","SIS_MA",4162,4162,1,0.957714669676083,1.04415232601399,"high",0
"Dondo","Feb","Tratados_ACTs","RMUS","SIS_MA",2616,1966,0.751529051987768,0.708464882878352,0.797112513035611,"low",0.248470948012232
"Dondo","Jul","Tratados_ACTs","RMUS","SIS_MA",1048,1048,1,0.917063168637998,1.09043742481249,"high",0
"Dondo","Jun","Tratados_ACTs","RMUS","SIS_MA",3140,3140,1,0.951434816513853,1.05104415209872,"high",0
"Dondo","Mar","Tratados_ACTs","RMUS","SIS_MA",1955,1955,1,0.938754274799252,1.06524148741037,"high",0
"Dondo","May","Tratados_ACTs","RMUS","SIS_MA",3186,3186,1,0.951780251899482,1.0506626902631,"high",0
"Gondola","Apr","Tratados_ACTs","RMUS","SIS_MA",720,730,1.01388888888889,0.913449447001536,1.1253936536914,"high",-0.0138888888888889
"Gondola","Jul","Tratados_ACTs","RMUS","SIS_MA",601,607,1.00998336106489,0.90076933098401,1.13245776862912,"high",-0.00998336106489185
"Gondola","Jun","Tratados_ACTs","RMUS","SIS_MA",818,723,0.883863080684597,0.798605439195287,0.978065990879436,"high",0.116136919315403
"Gondola","Mar","Tratados_ACTs","RMUS","SIS_MA",582,582,1,0.889921808321654,1.12369422869403,"high",0
"Gondola","May","Tratados_ACTs","RMUS","SIS_MA",993,993,1,0.914871832241098,1.09304928270703,"high",0
"Manica","Apr","Tratados_ACTs","RMUS","SIS_MA",5883,5883,1,0.964343063128428,1.03697536513188,"high",0
