"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Muanza Sede","Tratados_ACTs","LR","NEP_FISICO",1168,1927,1.64982876712329,1.53336967743363,1.77572173402759,"low",-0.649828767123288
"CS Munhava","Tratados_ACTs","LR","NEP_FISICO",2966,3611,1.21746459878624,1.15942332747301,1.27848623607968,"medium",-0.217464598786244
"CS Vila Nova","Tratados_ACTs","LR","NEP_FISICO",7992,10639,1.33120620620621,1.29301675231466,1.37056462266541,"low",-0.331206206206206
"Eduardo Mondlane","Tratados_ACTs","LR","NEP_FISICO",17623,22351,1.26828576292345,1.24343356155591,1.29364953980925,"low",-0.268285762923452
"HD Gondola","Tratados_ACTs","LR","NEP_FISICO",17521,23928,1.36567547514411,1.33926207363458,1.39263017626669,"low",-0.365675475144113
"HD Manica","Tratados_ACTs","LR","NEP_FISICO",8511,18779,2.20643872635413,2.15053008826366,2.26394047186378,"low",-1.20643872635413
"HR Nhamatanda","Tratados_ACTs","LR","NEP_FISICO",5393,5967,1.10643426664194,1.06625150018723,1.14815113569514,"high",-0.106434266641943
"CS Muanza Sede","Obitos","LR","NEP_FISICO",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"HD Gondola","Obitos","LR","NEP_FISICO",13,6,0.461538461538462,0.14385149083119,1.30150428240767,"high",0.538461538461538
"HD Manica","Obitos","LR","NEP_FISICO",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"HR Nhamatanda","Obitos","LR","NEP_FISICO",2,7,3.5,0.666406780207814,34.530323053432,"high",-2.5
"CS Cheadeia","Testados","LR","SIS_MA",858,835,0.973193473193473,0.883687429600166,1.07173108671269,"high",0.0268065268065268
"CS Dondo","Testados","LR","SIS_MA",7884,24199,3.06938102486048,2.99222259324142,3.14878753932025,"low",-2.06938102486048
"CS Inchope","Testados","LR","SIS_MA",4775,7986,1.67246073298429,1.61335363317659,1.73387418749322,"low",-0.672460732984293
"CS Mafambisse","Testados","LR","SIS_MA",12666,16664,1.31564819201011,1.2855216699552,1.34650518859583,"low",-0.315648192010106
